CS 170 Spring 2020 Project Leaderboard

S

M

L
Input Number
Team Name
Type 2 or more characters for results.
Team no_one

Input Name	Rank
medium-189	1
medium-190	54
medium-191	29
medium-192	52
medium-193	48
medium-194	48
medium-195	33
medium-196	56
medium-197	1
medium-198	54
medium-199	18
medium-200	22
medium-201	20
medium-202	22
medium-203	84
medium-204	1
medium-205	1
medium-206	45
medium-207	48
medium-208	1
medium-209	40
medium-210	1
medium-211	35
medium-212	38
medium-213	38
medium-214	34
medium-215	26
medium-216	39
medium-217	37
medium-218	46
medium-219	35
medium-220	21
medium-221	1
medium-222	34
medium-223	38
medium-224	52
medium-225	1
medium-226	10
medium-227	1
medium-228	1
medium-229	1
medium-230	31
medium-231	15
medium-232	39
medium-233	39
medium-234	26
medium-235	52
medium-236	19
medium-237	20
medium-238	18
medium-239	19
medium-240	1
medium-241	1
medium-242	41
medium-243	89
medium-244	38
medium-245	1
medium-246	1
medium-247	45
medium-248	1
medium-249	38
medium-250	50
medium-251	28
medium-252	45
medium-253	18
medium-254	15
medium-255	43
medium-256	30
medium-257	1
medium-258	1
medium-259	1
medium-260	36
medium-261	38
medium-262	1
medium-263	41
medium-264	20
medium-265	40
medium-266	24
medium-267	45
medium-268	89
medium-269	94
medium-270	21
medium-271	36
medium-272	51
medium-273	49
medium-274	17
medium-275	12
medium-276	1
medium-277	1
medium-278	13
medium-279	29
medium-280	1
medium-281	1
medium-282	1
medium-283	1
medium-284	47
medium-285	13
medium-286	34
medium-287	15
medium-288	31
medium-289	1
medium-290	19
medium-291	16
medium-292	1
medium-293	50
medium-294	14
medium-295	9
medium-296	1
medium-297	19
medium-298	1
medium-299	23
medium-300	53
medium-301	11
medium-302	49
medium-303	1
large-1	26
large-2	1
large-3	1
large-4	18
large-5	57
large-6	10
large-7	45
large-8	24
large-9	1
large-10	48
large-11	16
large-12	20
large-13	40
large-14	33
large-15	33
large-16	31
large-17	23
large-18	31
large-19	1
large-20	65
large-21	30
large-22	35
large-23	10
large-24	69
large-25	64
large-26	52
large-27	22
large-28	15
large-29	1
large-30	20
large-31	37
large-32	1
large-33	53
large-34	20
large-35	44
large-36	48
large-37	23
large-38	20
large-39	18
large-40	41
large-41	35
large-42	22
large-43	16
large-44	26
large-45	25
large-46	50
large-47	19
large-48	38
large-49	12
large-50	1
large-51	10
large-52	1
large-53	33
large-54	1
large-55	14
large-56	50
large-57	3
large-58	20
large-59	33
large-60	9
large-61	50
